obs_id,source_row_id,year,exporter_code,importer_code,hs6,family_id,quality_status,exclusion_reason,value_valid_flag,quantity_valid_flag,benchmark_join_status,source_filename,source_version
obs_2ddaddebbfeee8778cef,baci_f02bdcc2600b8484925ac3fb,2022,703,826,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_8c46334f9ee49e8e4f80,baci_d1a15f1265431d2d3b793068,2022,704,392,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_59f59eb41217eaf339f0,baci_d0cad5c515778b6a6ea91c1b,2022,704,764,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_02ec291bff156d8be0ac,baci_25f5e54ed06a811cd35c477a,2022,705,688,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_fcbd25a437fc8a8ae607,baci_81ee1ee89cd2659d197c0709,2022,710,36,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_6169bb051a59d89d096f,baci_70b598e9f1018007d86112e7,2022,710,48,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_9bda5841de9b7049cf75,baci_19845cfd1a5741c4822c078e,2022,710,516,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_0ffbcc067be4bbc5aa23,baci_7b5b7c56ca2f2ef26320a0f8,2022,710,682,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_36bc96a8dcc98f9ffcfe,baci_f5c7411ed780340e11aa881d,2022,724,192,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_7a9305548df3b9efb827,baci_c5ccc691ebde605eadc48759,2022,724,203,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_31c561d840e391971ae2,baci_6cc4591467c9ee2ed8896f61,2022,724,376,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_5e8ebd56b15801455d75,baci_f80979437b8de9ec0507057f,2022,748,764,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_fdc0089c8e790be82bcc,baci_e58218b0edd1d35a82005d32,2022,752,392,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_bf6e65c882e8acd110d0,baci_2c07ee492355ed21e2a278fe,2022,752,410,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_490f5ad314310d33b207,baci_dfaede8b68623e4fe631d2ad,2022,752,634,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_22d20f3beb6457b4ef36,baci_5049a950b36e77058ed2eed6,2022,752,682,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_591191340c84b0b3c97e,baci_4835cc874eb08833a191c17d,2022,752,792,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_704ce13843cff14beb97,baci_07d896e77a31aae18426b7c3,2022,757,40,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_fb441b6dff3985a43666,baci_428e58544eac223843f8ee78,2022,757,490,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_25099cfa9c3ff9837b94,baci_f73509157f88aa86eec96a7e,2022,757,620,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_2461975f0ca973de6e85,baci_29f9521e42cb92b508bb01fe,2022,757,682,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_1a9bd9d0146ca3075ac5,baci_bd9e1d5a81f9425dbbbc6dc2,2022,764,784,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_bf623ce488a3a57acc0a,baci_c1f134e84261b1ea1ace9b60,2022,784,48,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_d67f51a62481464a9f12,baci_c67654ed160492bd72964099,2022,784,458,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
